iter	RMSE
271	256938.9149
272	256754.3366
273	256618.7057
274	256602.2753
275	256561.9225
276	256413.2163
277	255993.4959
278	255874.7352
279	255522.1345
280	255422.3895
281	255121.0063
282	255105.1848
283	254740.1627
284	254421.7612
285	254406.3652
286	254311.3842
287	254236.4809
288	254217.2461
289	254127.5071
290	254104.578
291	253945.136
292	253872.0136
293	253783.5889
294	253631.044
295	253283.0254
296	253189.0024
297	252889.7559
298	252554.3633
299	252540.4423
300	252324.7603
301	252307.8335
302	251980.6757
303	251868.2104
304	251460.108
305	251103.8452
306	251036.2936
307	250895.8063
308	250612.6128
309	250541.8865
310	250270.5949
311	250225.3923
312	250162.1276
313	250127.8689
314	250039.0125
315	249728.6162
316	249645.352
317	249288.9475
318	249084.3765
319	249013.904
320	248724.5978
321	248667.9819
322	248623.4297
323	248368.9143
324	248125.1518
325	247841.2906
326	247729.3095
327	247683.0537
328	247577.2215
329	247418.3528
330	247126.8607
331	246851.5426
332	246721.3042
333	246658.126
334	246603.6599
335	246405.8455
336	246345.0117
337	246203.5664
338	246143.8058
339	246060.5872
340	246024.899
341	245805.3869
342	245728.8863
343	245695.3025
344	245489.4136
345	245457.8138
346	245404.818
347	245306.037
348	245187.4945
349	244940.2416
350	244805.431
351	244751.051
352	244656.8396
353	244617.7894
354	244356.7765
355	244087.7409
356	244037.8594
357	243975.981
358	243708.9677
359	243499.5713
360	243407.8049
361	243331.6955
362	243255.9388
363	243182.1278
364	243097.5274
365	243072.9731
366	242950.5784
367	242844.5303
368	242820.7503
369	242550.7289
370	242523.4711
371	242306.309
372	242185.9013
373	241905.5001
374	241802.3292
375	241576.0536
376	241557.2713
377	241534.6519
378	241505.2151
379	241426.7055
380	241342.6671
381	241267.3971
382	240992.1909
383	240890.7177
384	240709.0974
385	240539.2202
386	240263.4431
387	240153.818
388	240132.7521
389	240037.5871
390	240023.5002
391	239992.8599
392	239808.6154
393	239621.2977
394	239365.3677
395	239158.1054
396	239130.4171
397	239079.3334
398	239044.1413
399	238988.9237
400	238808.8916
401	238580.0841
402	238491.8144
403	238236.035
404	238117.0215
405	237793.7108
406	237762.3008
407	237732.1041
408	237575.3798
409	237484.5293
410	237415.7083
411	237390.676
412	237382.8891
413	237143.3831
414	237092.9527
415	236868.1862
416	236642.5228
417	236584.8881
418	236568.0504
419	236517.3098
420	236331.9745
421	236299.1475
422	236115.2013
423	236034.4328
424	236007.5779
425	235767.1812
426	235748.0944
427	235602.6653
428	235587.4802
429	235407.8135
430	235249.1499
431	235221.2412
432	235056.6358
433	234933.1804
434	234917.6142
435	234898.9733
436	234846.4119
437	234749.069
438	234568.6387
439	234451.1963
440	234358.3556
441	234147.5018
442	234025.8142
443	234008.5118
444	233968.3861
445	233916.6911
446	233665.9102
447	233564.3991
448	233501.3572
449	233486.5582
450	233317.6888
451	233274.0132
452	233257.8633
453	233099.6129
454	232975.7659
455	232881.3931
456	232866.4464
457	232677.2245
458	232598.7699
459	232574.0539
460	232465.2068
461	232279.8762
462	232241.8701
463	232236.6577
464	232082.1374
465	231949.1803
466	231926.0206
467	231800.9936
468	231726.193
469	231710.9978
470	231687.7993
471	231493.3119
472	231293.0853
473	231154.7036
474	231111.5926
475	231090.1123
476	230957.8448
477	230936.5414
478	230846.9502
479	230673.367
480	230485.4312
481	230445.9725
482	230290.8731
483	230156.3445
484	230004.2127
485	229856.73
486	229711.6402
487	229687.7187
488	229524.6124
489	229393.8209
490	229305.6075
491	229144.0939
492	229107.5587
493	228980.6752
494	228967.0901
495	228822.7751
496	228699.1309
497	228639.5052
498	228634.7704
499	228512.3599
500	228492.8151
501	228333.3597
502	228315.685
503	228176.8051
504	228096.4752
505	228078.5571
506	227969.0851
507	227817.5094
508	227769.9085
509	227751.1932
510	227696.3347
511	227564.2628
512	227380.8507
513	227323.2895
514	227269.9126
515	227158.9967
516	227084.3064
517	226960.4725
518	226886.8912
519	226854.177
520	226837.2604
521	226819.0581
522	226798.439
523	226781.2265
524	226641.5253
525	226625.6531
526	226538.6794
527	226516.1318
528	226494.9106
529	226478.7952
530	226462.3483
531	226294.2793
532	226164.1108
533	226023.2502
534	225920.8224
535	225821.2737
536	225635.4163
537	225547.5025
538	225465.8857
539	225436.382
540	225336.6821
541	225169.5904
542	225155.0353
543	225114.8976
544	225079.2421
545	225044.0295
546	224930.637
547	224768.1852
548	224663.0966
549	224625.3091
550	224599.5112
551	224556.2524
552	224519.9051
553	224502.0141
554	224316.2136
555	224301.3764
556	224282.6825
557	224162.5556
558	224150.9773
559	224136.194
560	224101.0617
561	224041.0341
562	223907.8768
563	223703.0565
564	223674.661
565	223489.5802
566	223459.317
567	223270.917
568	223141.4888
569	223005.4838
570	222991.1975
571	222939.4726
572	222910.6043
573	222783.688
574	222744.0884
575	222701.3606
576	222682.0714
577	222646.8088
578	222519.1154
579	222465.0647
580	222438.2459
581	222328.9016
582	222191.4692
583	222100.7878
584	221969.5347
585	221741.9692
586	221639.1954
587	221542.6476
588	221511.3128
589	221482.8331
590	221383.4382
591	221370.0081
592	221242.7243
593	221062.0536
594	221025.8329
595	220879.427
596	220761.995
597	220623.3297
598	220594.0299
599	220523.234
600	220412.6054
601	220306.4776
602	220281.709
603	220217.0281
604	220108.0566
605	220080.5091
606	220017.7221
607	219905.8793
608	219840.2027
609	219729.5522
610	219643.055
611	219536.9196
612	219427.866
613	219328.5436
614	219217.9348
615	219177.8192
616	219152.674
617	219050.314
618	218970.4984
619	218847.5712
620	218834.5951
621	218754.3096
622	218673.4996
623	218583.9099
624	218530.5479
625	218441.6619
626	218256.0971
627	218238.7875
628	218222.5491
629	218208.4216
630	218191.7082
631	218101.3921
632	218008.7848
633	217875.2151
634	217865.1691
635	217783.9782
636	217770.0063
637	217644.6349
638	217628.8711
639	217551.1162
640	217498.8516
641	217480.364
642	217426.813
643	217329.3058
644	217212.7522
645	217119.5091
646	217081.5126
647	216987.8121
648	216925.0803
649	216914.8673
650	216842.1409
651	216817.2545
652	216800.5151
653	216783.9333
654	216773.2159
655	216744.9862
656	216646.5908
657	216614.8701
658	216600.3435
659	216458.9301
660	216434.1093
661	216395.9108
662	216371.4202
663	216153.1789
664	216098.2916
665	216083.4912
666	215996.2087
667	215931.4273
668	215915.8261
669	215867.4672
670	215775.2963
671	215743.7476
672	215734.2914
673	215723.9093
674	215653.0947
675	215643.9682
676	215574.5962
677	215497.8598
678	215445.6352
679	215378.4849
680	215306.3996
681	215283.3641
682	215217.0432
683	215202.9506
684	215154.1911
685	215140.1455
686	215102.4329
687	215014.4249
688	214959.2264
689	214891.9536
690	214881.0547
691	214868.1135
692	214827.3926
693	214811.5862
694	214788.7949
695	214772.4329
696	214752.7602
697	214740.7789
698	214651.053
699	214627.5323
700	214581.7709
701	214563.0198
702	214552.0519
703	214540.6917
704	214512.2196
705	214433.4674
706	214328.402
707	214315.6421
708	214302.3397
709	214209.8609
710	214192.4813
711	214111.3638
712	214062.7494
713	214053.8034
714	214029.3086
715	213987.9259
716	213930.4419
717	213925.7467
718	213912.0482
719	213900.6006
720	213710.3554
721	213650.1951
722	213547.6
723	213470.473
724	213385.0844
725	213362.5452
726	213316.7356
727	213230.8291
728	213160.9557
729	213113.6577
730	213092.3727
731	213063.217
732	212878.9722
733	212837.8006
734	212788.3924
735	212676.5176
736	212661.4359
737	212628.0166
738	212584.1472
739	212577.7513
740	212514.0385
741	212450.5075
742	212401.2879
743	212326.926
744	212271.0709
745	212263.398
746	212246.5376
747	212153.7683
748	212060.9686
749	212040.1446
750	212010.9856
751	211995.6892
752	211931.0386
753	211917.7953
754	211891.672
755	211717.8317
756	211704.361
757	211678.7778
758	211663.5815
759	211614.9694
760	211590.102
761	211557.352
762	211546.3223
763	211486.4655
764	211425.8162
765	211413.1339
766	211373.9522
767	211337.9894
768	211291.8405
769	211227.6596
770	211187.864
771	211132.2234
772	211095.4835
773	211054.8536
774	211037.5438
775	210984.5308
776	210980.1295
777	210926.9859
778	210843.8537
779	210774.5532
780	210764.7481
781	210756.2887
782	210747.419
783	210607.3086
784	210596.8712
785	210586.7996
786	210507.3188
787	210493.407
788	210459.7253
789	210443.0337
790	210381.5108
791	210302.7823
792	210220.1487
793	210155.2646
794	210109.1054
795	210096.4958
796	210039.8753
797	210004.7945
798	209983.7877
799	209895.5127
800	209883.0528
801	209771.7565
802	209661.5368
803	209567.2583
804	209536.3465
805	209475.2109
806	209420.7213
807	209408.7929
808	209306.7409
809	209292.0168
810	209238.9853
811	209216.3826
812	209184.3026
813	209134.2709
814	209094.613
815	208996.3762
816	208950.1245
817	208871.6421
818	208857.6104
819	208832.9431
820	208811.9278
821	208573.6151
822	208530.2795
823	208516.8115
824	208489.8833
825	208480.7873
826	208428.8928
827	208413.9142
828	208318.5659
829	208182.8716
830	208128.6011
831	208034.2385
832	208029.5581
833	207921.5608
834	207893.7867
835	207869.5992
836	207839.8434
837	207817.365
838	207794.754
839	207721.491
840	207707.1456
841	207675.1874
842	207638.8882
843	207597.6498
844	207567.5072
845	207500.085
846	207431.993
847	207376.8449
848	207242.7253
849	207206.4752
850	207100.5039
851	207094.4098
852	207029.7313
853	207008.332
854	206983.2722
855	206964.2781
856	206749.5556
857	206666.8643
858	206641.4519
859	206614.2583
860	206547.7588
861	206475.3541
862	206469.0395
863	206414.2448
864	206377.5925
865	206299.5575
866	206216.4855
867	206112.2985
868	206086.1444
869	206067.9689
870	206028.7638
871	205997.1394
872	205898.9937
873	205874.4281
874	205862.7474
875	205822.2016
876	205760.2626
877	205754.5782
878	205688.4157
879	205522.3376
880	205491.2644
881	205423.7262
882	205400.3596
883	205318.8308
884	205289.4173
885	205260.8406
886	205235.0547
887	205221.5088
888	205192.4041
889	205001.0621
890	204987.3138
891	204927.9595
892	204847.6305
893	204836.8884
894	204764.7026
895	204727.1291
896	204721.6032
897	204687.1136
898	204640.1367
899	204590.3529
900	204581.515
901	204534.4884
902	204519.9098
903	204464.8997
904	204450.7468
905	204427.5965
906	204322.3793
907	204287.9271
908	204274.8879
909	204254.1606
910	204225.2263
911	204164.4196
912	203939.8005
913	203875.6207
914	203838.8234
915	203826.5539
916	203780.3765
917	203740.9665
918	203730.6406
919	203687.6897
920	203664.4371
921	203623.9264
922	203596.6719
923	203577.5292
924	203569.2221
925	203433.8046
926	203415.8356
927	203396.687
928	203389.9573
929	203362.728
930	203350.9378
931	203343.1329
932	203282.6504
933	203246.7156
934	203130.348
935	203122.8378
936	203015.0283
937	202993.8972
938	202987.3562
939	202974.2632
940	202947.0153
941	202907.5359
942	202882.365
943	202861.8173
944	202762.1304
945	202735.1796
946	202724.5056
947	202621.3849
948	202520.3371
949	202493.15
950	202486.8437
951	202428.5195
952	202411.7259
953	202408.2262
954	202392.5071
955	202344.1503
956	202268.675
957	202028.853
958	201990.9481
959	201987.8732
960	201968.615
961	201922.3779
962	201917.221
963	201843.7455
964	201830.3986
965	201768.6343
966	201741.141
967	201734.2101
968	201725.8907
969	201696.2625
970	201681.7935
971	201670.5064
972	201650.9296
973	201601.537
974	201572.8132
975	201374.4442
976	201302.7644
977	201202.5564
978	201136.3649
979	201079.6404
980	201056.6508
981	201029.2401
982	200985.8597
983	200902.6631
984	200775.9456
985	200770.7286
986	200738.9275
987	200713.4925
988	200633.2453
989	200616.8193
990	200582.7146
991	200560.0822
992	200539.431
993	200494.2568
994	200482.2568
995	200383.0545
996	200281.5029
997	200238.2727
998	200225.1874
999	200217.832
